ano,provincia,distrito,num_incendios,ha_arborada,ha_rasa,ha_total
2025,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,140,533.12,155.95,689.07
2025,A Coruña,FERROL,41,39.8,38.83,78.63
2025,A Coruña,FISTERRA,59,108.62,59.39,168.01
2025,A Coruña,SANTIAGO-MESETA INTERIOR,83,111.19,334.43,445.62
2025,Lugo,A MARIÑA LUCENSE,11,166.4,11.71,178.11
2025,Lugo,FONSAGRADA-OS ANCARES,35,227.34,215.68,443.02
2025,Lugo,LUGO-SARRIA,58,96.1,214.53,310.63
2025,Lugo,TERRA CHA,75,25.58,36.84,62.42
2025,Lugo,TERRA DE LEMOS,69,4754.83,7945.0,12699.83
2025,Ourense,A LIMIA,49,184.73,892.32,1077.05
2025,Ourense,MIÑO-ARNOIA,167,845.23,3953.8,4799.03
2025,Ourense,O RIBEIRO-ARENTEIRO,69,1269.94,2370.78,3640.72
2025,Ourense,VALDEORRAS-TRIVES,55,13500.09,36032.12,49532.21
2025,Ourense,VERIN-VIANA,86,15172.65,27362.42,42535.07
2025,Pontevedra,CALDAS-O SALNES,120,210.37,26.09,236.46
2025,Pontevedra,DEZA-TABEIROS,63,677.91,249.56,927.47
2025,Pontevedra,O CONDADO-A PARADANTA,109,400.06,149.57,549.63
2025,Pontevedra,VIGO-BAIXO MIÑO,115,192.98,66.9,259.88
